煤田,矿区,采厚,面长,走向长,推进速度,开采方式,硬岩比,覆岩类型,抗压强度,采深,煤倾,导高
30,25,6,350,0.987025784,-0.038961039,3,0.91,0.8,60,279.99,0.5,136.1
24,40,7.5,235.8,0.012317293,-0.038961039,3,0.52,0.6,43.4,54,5,96.43
24,40,4,135,-0.047626868,-0.038961039,7,0.52,0.4,34.5,49,5,45
24,40,5,160,-0.047626868,-0.038961039,7,0.7,0.6,35,160,5,48
24,40,4.5,220,-0.047626868,0.422077922,7,0.76,0.6,35,110,2.6,46.6
24,40,6.94,147.5,0.699129578,-0.038961039,3,0.81,0.6,35,180,2,59.6
24,40,6.6,292.5,0.163409427,-0.038961039,3,0.9,0.6,26,180,3,137.32
24,40,7.3,301.3,0.707883068,0.85974026,3,0.76,0.6,35,180,3,75.3
30,41,5.8,350,-0.047626868,-0.038961039,3,0.77,0.6,35,135,8.5,60.7
30,41,11.1,104,-0.047626868,-0.038961039,6,0.83,0.8,60,500,4,152.34
30,41,6,300,-0.047626868,-0.038961039,7,0.13,0.4,13.1,175.3,3,89.61
30,41,5.5,191,0.018065364,-0.038961039,7,0.22,0.4,15,132.9,3,108
30,41,3.96,182,-0.047626868,-0.038961039,6,0.33,0.6,35,195.9,0.5,75.78
30,41,3.96,182,-0.047626868,-0.038961039,6,0.34,0.6,35,199.9,0.5,71.66
30,41,3.2,300,0.804072918,-0.038961039,7,0.37,0.6,35,372.23,3,104.36
0,40,4.65,284.3,0.481852521,0.935064935,7,0.65,0.6,65.3,130.94,2,75.8
0,40,7.14,245,0.175069798,-0.038961039,7,0.31,0.6,29.15,204,3,83.5
0,40,6,327.35,0.78469371,-0.038961039,7,0.45,0.8,43.6,165,5,153.46
8,37,9,224,0.187222861,-0.038961039,6,0.15,0.4,15,424,8,175.4
8,37,9,200,-0.047626868,-0.038961039,6,0.23,0.6,35,424,9,109.1
0,40,4.5,260,-0.047626868,-0.038961039,6,0.22,0.6,35,210,1.5,92.1
0,19,6.1,240,-0.047626868,-0.038961039,6,0.3,0.6,29.56,669,1,107
0,19,6.23,241,0.435539497,-0.038961039,6,0.35,0.6,35,740,2,106.1
0,19,6,240,-0.047626868,-0.038961039,6,0.36,0.6,36,701,3,120.3
0,40,2.2,158,-0.047626868,-0.038961039,7,0.45,0.4,25.2,101.1,1,63
0,40,4.8,150,-0.047626868,-0.038961039,3,0.89,0.4,74,56,0,42.5
0,40,4.3,276,0.712596485,-0.038961039,3,0.88,0.6,35,140.6,1,140.6
0,40,4.5,310,-0.047626868,-0.038961039,3,0.69,0.6,35,200,2,89.5
0,40,4.8,311,0.547216292,-0.038961039,3,0.68,0.6,35,200,2,92
0,40,4,325.5,-0.047626868,-0.038961039,3,0.7,0.6,35,200,3,91.5
0,40,5,220.3,0.235046806,-0.038961039,3,0.69,0.6,35,200,2,103.5
0,40,8,319.1,0.467942191,-0.038961039,3,0.69,0.6,35,200,2,105.96
0,40,8,327.4,0.467728691,-0.038961039,3,0.69,0.6,35,200,2,109.8
0,40,6.8,301,0.768763344,-0.038961039,3,0.41,0.6,35,200,3,106.5
0,40,7.1,300.8,0.722033175,-0.038961039,3,0.38,0.6,35,275,2,112.7
0,40,7.2,281.4,0.721704713,-0.038961039,3,0.39,0.6,36.8,253,2,114.6
0,40,4.5,301,0.765979635,1,3,0.42,0.6,35,245,2,119.9
0,40,6,311,0.743915257,0.792207792,3,0.43,0.6,35,245,2,125
0,40,4.4,300,-0.047626868,0.545454545,3,0.35,0.6,35,245,2,142.5
0,40,5.2,265.5,-0.047626868,-0.038961039,3,0.43,0.8,60,260.9,2,154
12,17,8,150,-0.047626868,-0.038961039,7,0.23,0.4,15,125,5,22
0,5,5.27,260,0.037773033,-0.038961039,6,0.78,0.8,60,620,6,126
2,2,3.5,195,0.210872064,-0.038961039,7,0.22,0.4,15,240,7,21.68
2,2,3.5,195,-0.047626868,-0.038961039,7,0.21,0.4,15,240,7,17.45
14,22,1.5,45,-0.047626868,-0.038961039,7,0.2,0.4,15,200,0,45
14,22,1.1,170,0.088684513,-0.038961039,7,0.49,0.8,46.15,342,5,42
14,22,9.6,170,-0.047626868,-0.038961039,6,0.36,0.6,35,342,4,118
14,22,9.5,300,-0.047626868,-0.038961039,6,0.35,0.6,35,342,17.5,115.2
14,22,3.05,300,-0.047626868,-0.038961039,7,0.35,0.6,35,312,13,61
7,48,3.55,234.3,0.477910987,-0.038961039,7,0.46,0.8,60,400,4,44.6
7,48,5.4,302,-0.047626868,-0.038961039,7,0.77,0.8,60,340.6,8.5,62.53
7,48,5.3,302,-0.047626868,-0.038961039,6,0.7,0.8,60,330,9,62.59
7,48,5.28,300,-0.047626868,-0.038961039,6,0.68,0.6,35,280,9.5,56.02
7,48,2.7,256,-0.047626868,-0.038961039,6,0.65,0.6,35,220,5,46.45
7,48,5.43,97,0.13302677,-0.038961039,6,0.75,0.4,11.58,210,25,62.84
7,37,3.5,280,-0.047626868,-0.038961039,6,0.72,0.6,35,250,10.4,59.24
7,47,4.6,280,-0.047626868,-0.038961039,6,0.72,0.6,35,500,6,63.12
31,7,11.4,207,-0.047626868,-0.038961039,6,0.87,0.4,17.5,458,7.5,211.2
31,7,7.54,195,-0.047626868,-0.038961039,6,0.88,0.4,19.1,516.3,8,185.1
31,7,12.4,227,-0.047626868,-0.038961039,6,0.75,0.4,17,458.9,7.5,205.9
31,7,15.2,227,-0.047626868,-0.038961039,1,0.87,0.4,19.85,433.9,8,234
31,7,11,230,-0.047626868,-0.038961039,1,0.79,0.6,18.7,784,6,219
31,7,11,277,-0.047626868,-0.038961039,6,0.79,0.6,21.3,717.7,8,219
31,7,9.97,230,-0.047626868,-0.038961039,6,0.69,0.4,18.7,590,6.5,199
26,24,2.41,160,1,0.194805195,7,0.31,0.4,15,133.5,30,45.5
26,24,13.6,47,0.049269174,0,6,0.28,0.4,30,135,50,103.8
33,50,3.75,168,0.09623912,-0.038961039,7,0.43,0.6,35,450,34,44.66
11,15,1.9,70,-0.047626868,-0.038961039,1,0.83,0.8,69.84,173,20,25.3
11,15,2,70,-0.047626868,-0.038961039,1,0.83,0.8,69.84,173,20,26.7
11,43,4,71,0.022992281,-0.038961039,7,0.74,0.6,45.6,282,8,33
11,15,4.5,77,-0.047626868,-0.038961039,1,0.67,0.6,35,209.5,30,47.3
11,15,5.6,230,-0.047626868,-0.038961039,1,0.53,0.6,35,391,25,57.3
11,15,3.7,70,0.054196091,-0.038961039,7,0.446,0.4,44.6,420,23,56.8
11,15,3.8,143,0.037608803,-0.038961039,7,0.5,0.6,110,446,17,40
27,45,6.65,80,0.108392183,-0.038961039,6,0.31,0.4,15,171,16,46.7
28,13,7,155,0.076859911,-0.038961039,6,0.41,0.6,36.8,781,20,134
28,13,2.8,155,0.076859911,-0.038961039,3,0.39,0.6,35.6,781,20,39.8
27,45,6.49,170,0.027919199,-0.038961039,7,0.22,0.4,15,680,7.5,27.6
10,27,2.1,180,-0.047626868,-0.038961039,6,0.46,0.4,15,679,8,44.54
32,49,6,174,-0.047626868,-0.038961039,5,0.3,0.4,15,150,23,58.4
15,20,1.7,180,0.231565117,0.61038961,3,0.38,0.6,29.8,124,4,29.31
15,34,5.9,148,0.244703564,0.415584416,6,0.99,0.8,60,315,4.5,114.7
16,40,3.5,150,0.083757596,-0.038961039,0,0.86,0.6,35,993,17,75.34
16,40,7.99,300,0.165872886,-0.038961039,6,0.78,0.6,35,932,16,120.33
6,40,6.41,239.4,0.332139924,-0.038961039,6,0.64,0.6,55.2,478,2,120
16,40,6.7,260,0.403021843,-0.038961039,6,0.35,0.6,35,357,5,106
16,40,7,240,0.375266875,-0.038961039,6,0.35,0.6,35,367,6,109.3
15,44,1.7,180,0.068155691,-0.038961039,7,0.34,0.6,13.6,150,4,30.74
19,33,3.4,205,-0.047626868,-0.038961039,7,0.41,0.6,30,117,2,72
19,33,3.4,120,-0.047626868,-0.038961039,7,0.68,0.6,35,415,8,30.9
19,33,1.8,120,-0.047626868,-0.038961039,7,0.78,0.6,35,420,6,39.38
19,33,5.8,180,-0.047626868,-0.038961039,6,0.75,0.4,15,553,8,65.3
